#TYPE System.Diagnostics.Eventing.Reader.EventLogRecord,,,,,,,,,,,,,,,,,,,,,,,,,,
Message,Id,Version,Qualifiers,Level,Task,Opcode,Keywords,RecordId,ProviderName,ProviderId,LogName,ProcessId,ThreadId,MachineName,UserId,TimeCreated,ActivityId,RelatedActivityId,ContainerLog,MatchedQueryIds,Bookmark,LevelDisplayName,OpcodeDisplayName,TaskDisplayName,KeywordsDisplayNames,Properties
Subject:   Security ID:  XXXX SID   Account Name:  strangelove   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  strangelove2   Account Domain: Failure Information:   Failure Reason:  Unknown user name or bad password. Status:   0xc000006d Sub Status:  0xc000015b Process Information:,4625,,0,4,0,,3.60E+16,3695,edgeupdate,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:58,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
Subject:   Security ID:  XXXX SID   Account Name:  user1   Account Domain:  -   Logon ID:  0x0 Logon Type:  3 Account For Which Logon Failed:   Security ID:  XXXX SID   Account Name:  user1   Account Domain: Failure Information:   Failure Reason:  Unknown user name or bad password. Status:   0xc000006d Sub Status:  0xc000015b Process Information:,4625,,0,4,0,,3.60E+16,3694,Epson PMAService A,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,,,,,System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,D,2) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database [C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\tmp.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9100 (0x238c).",330,,0,4,1,,3.60E+16,3693,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,D,50) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine attached a database (1, C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb). (Time=0 seconds) 
 
Saved Cache: 0 0 
Additional Data: lgposAttach = 00000001:00AA:0268,
dbv = 1568.20.0 
 
Internal Timing Sequence: 
[1] 0.000002 +J(0)
[2] 0.000504 +J(0) +M(C:0K, Fs:29, WS:52K # 0K, PF:16K # 0K, P:16K)
[3] 0.012696 -0.008369 (5) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:39, WS:148K # 0K, PF:80K # 0K, P:80K)
[4] 0.000658 +J(0)
[5] -
[6] -
[7] -
[8] 0.004783 -0.000315 (2) CM +J(CM:2, PgRf:2, Rd:14/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:55, WS:204K # 0K, PF:148K # 0K, P:148K)
[9] 0.024772 -0.000830 (5) CM -0.023598 (1) WT +J(CM:5, PgRf:23, Rd:0/5, Dy:0/0, Lg:0/0) +M(C:0K, Fs:125, WS:492K # 0K, PF:264K # 0K, P:264K)
[10] 0.000117 -0.000004 (2) CM +J(CM:2, PgRf:40, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:7, WS:28K # 0K, PF:64K # 0K, P:64K)
[11] 0.000006 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[12] 0.000027 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:3, WS:12K # 0K, PF:8K # 0K, P:8K)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000003 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",326,,0,4,1,,3.60E+16,3692,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,D,50) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The log format feature version 8940 (0x22ec - 8.6.20) could not be used due to the current log format 8.5.16, controlled by the parameter 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat).",641,,0,4,1,,3.60E+16,3691,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,D,50) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database [C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9100 (0x238c).",330,,0,4,1,,3.60E+16,3690,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,D,0) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine started a new instance (0). (Time=0 seconds) 
 
Additional Data:
 lgposV2[] = 00000001:00A6:0000 - 00000001:00A7:03A7 - 00000001:00A8:0000 - 00000001:00A8:0000 (00000000:0000:0000)
cReInits = 22
 
 
Internal Timing Sequence: 
[1] 0.024290 +J(0) +M(C:0K, Fs:226, WS:852K # 852K, PF:2480K # 2556K, P:2480K)
[2] 0.000615 +J(0) +M(C:0K, Fs:104, WS:416K # 416K, PF:308K # 232K, P:308K)
[3] 0.000013 +J(0) +M(C:0K, Fs:2, WS:8K # 8K, PF:64K # 64K, P:64K)
[4] 0.000536 +J(0) +M(C:0K, Fs:30, WS:120K # 120K, PF:160K # 160K, P:160K)
[5] 0.001559 +J(0) +M(C:0K, Fs:65, WS:252K # 252K, PF:52K # 60K, P:52K)
[6] 0.006778 +J(0) +M(C:0K, Fs:272, WS:376K # 936K, PF:60K # 180K, P:60K)
[7] 0.015375 -0.000027 (5) WT +J(0) +M(C:0K, Fs:570, WS:2276K # 1716K, PF:2068K # 1940K, P:2068K)
[8] 0.065063 -0.015457 (8) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:676921/5239) +M(C:0K, Fs:2234, WS:2140K # 2148K, PF:868K # 876K, P:868K)
[9] 0.000553 +J(0) +M(C:0K, Fs:7, WS:28K # 20K, PF:0K # 0K, P:0K)
[10] 0.001587 +J(0) +M(C:0K, Fs:1, WS:-2040K # 4K, PF:-2040K # 0K, P:-2040K)
[11] 0.000096 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:3, WS:12K # 0K, PF:0K # 0K, P:0K)
[12] 0.016433 -0.016352 (2) WT +J(0) +M(C:0K, Fs:7, WS:28K # 0K, PF:4K # 0K, P:4K)
[13] 0.123050 -0.000145 (2) CM -0.081092 (17) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:861, WS:1044K # 1072K, PF:268K # 276K, P:268K)
[14] 0.000014 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[15] 0.000010 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[16] 0.001001 +J(0) +M(C:0K, Fs:12, WS:40K # 0K, PF:4K # 0K, P:4K).",105,,0,4,1,,3.60E+16,3689,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,U,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine has successfully completed recovery steps.",302,,0,4,3,,3.60E+16,3688,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,Logging/Recovery,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,R,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine has finished replaying logfile C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\edb.log. 
 
Processing Stats: 
[1] 0.046766 -0.015456 (7) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:676921/5239) +M(C:0K, Fs:2025, WS:1320K # 1328K, PF:436K # 444K, P:436K). 
Log record of type 'Insert   ' was seen most frequently (1936 times)",301,,0,4,3,,3.60E+16,3687,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,Logging/Recovery,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,R,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database [C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb] format version is being held back to 8920 (0x22d8) due to application parameter setting of 0x410022D8 (8920 | JET_efvAllowHigherPersistedFormat). Current default engine version: 9100 (0x238c).",330,,0,4,1,,3.60E+16,3686,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,R,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: Replay of a Create for database ""C:\Users\mcguertyj\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\LocalState\Database\anonymous\EntClientDb.edb"" at log position (00000001,0001,0268) was deferred due to AttachFuture.  Additional information:  ",335,,0,4,3,,3.60E+16,3685,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,Logging/Recovery,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,R,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine is initiating recovery steps.",300,,0,4,3,,3.60E+16,3684,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,Logging/Recovery,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"Video.UI (8712,P,98) {1644FEFA-C7D1-497D-BACF-1BE893EEBDC6}: The database engine (10.00.18363.0000) is starting a new instance (0).",102,,0,4,1,,3.60E+16,3683,ESENT,,Application,,,DESKTOP-8OGP4P6,,3/3/21 17:57,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,Info,General,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
"The Software Protection service has started.
10.0.18362.1379",902,0,16384,0,0,0,3.60E+16,3682,Microsoft-Windows-Security-SPP,e23b33b0-c8c9-472c-a5f9-f2bdfea0f156,Application,0,0,DESKTOP-8OGP4P6,,3/3/21 16:43,,,Application,System.UInt32[],System.Diagnostics.Eventing.Reader.EventBookmark,Information,,,System.Collections.ObjectModel.ReadOnlyCollection`1[System.String],System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]
